"","District","Block","Village","mean","upper","lower"
"V1272_1","UDAIPUR","KHERWARA","JAVAS",3.88190973969697,-11.6631226189799,7.0910770334853
"V1273_1","UDAIPUR","KHERWARA","SAMITED",34.0291871356882,22.6288931118956,40.5507816363999
"V1274_1","UDAIPUR","KHERWARA","JHUNTHRI",24.023636934478,4.86586137852536,31.6501899217944
"V1275_1","UDAIPUR","KHERWARA","SAREDI",13.5283782129117,7.32537082484392,17.6161227779462
"V1276_1","UDAIPUR","KHERWARA","NAVAGHARA",45.2328665517703,33.677987654473,57.0234450348915
"V1277_1","UDAIPUR","KHERWARA","RANAVADA1",29.8739575323046,0.703104941623345,51.8519028219771
"V1278_1","UDAIPUR","KHERWARA","KAATAR",19.9488875734561,5.56447141766303,24.4772546259011
"V1279_1","UDAIPUR","KHERWARA","KHANMIN",42.5387868574978,29.1437744615928,52.4661162324832
"V1280_1","UDAIPUR","KHERWARA","KARNAUVA",25.1556435377046,11.2707234182773,30.0699188716049
"V1281_1","UDAIPUR","KHERWARA","KANDAAL",18.5556977270495,1.00886108651299,24.6948069492336
"V1282_1","UDAIPUR","KHERWARA","MUNDVADA - A",62.082889459056,48.8428002478011,75.3156900122918
"V1283_1","UDAIPUR","KHERWARA","KHANDI OOBARI",53.4546027735189,36.3492595564926,68.0365695119954
"V1284_1","UDAIPUR","KHERWARA","LARATHI",62.8949678520236,46.7572576832167,72.3360030744523
"V1285_1","UDAIPUR","KHERWARA","VADILA",11.8370766167235,6.49446927341685,24.462401653747
"V1286_1","UDAIPUR","KHERWARA","PAHADA1",15.6309707080262,4.40026259706203,39.7699409019236
"V1287_1","UDAIPUR","KHERWARA","SUBERI",50.3210106074988,29.3124379204929,56.3415517796212
"V1288_1","UDAIPUR","KHERWARA","VANIBOR",35.2889973656489,26.0257030863497,41.0549220269766
"V1289_1","UDAIPUR","KHERWARA","KHERWADA (CHA)",48.2436841189798,16.5872702840282,60.0825667989709
"V1290_1","UDAIPUR","KHERWARA","BHOMTAWADA",14.9042649058949,3.38927994099941,22.8260729488022
"V1291_1","UDAIPUR","KHERWARA","ASARI WARA",39.9852831993175,31.1074032294849,55.959248962196
"V1292_1","UDAIPUR","SARADA","SARADA",0,-40.7218459181393,2.90091566452619
"V1293_1","UDAIPUR","SARADA","SEPUR",6.12635524689072,-9.60109300388105,13.1817337283157
"V1294_1","UDAIPUR","SARADA","KEJAD",31.8341644573827,18.496537093971,55.2924639109369
"V1295_1","UDAIPUR","SARADA","NIMACH",0.152576137609599,-5.06372741356003,10.2443247925428
"V1296_1","UDAIPUR","SARADA","MAYAR",19.4164995835839,1.54544758954858,24.4616935024706
"V1297_1","UDAIPUR","SARADA","CHAWAND",38.4716937662785,11.8279644150444,52.1030688754679
"V1298_1","UDAIPUR","SARADA","DEKALI",19.103661775476,12.9120002631421,24.2366857318293
"V1299_1","UDAIPUR","SARADA","KATANVADA",20.0681761301497,7.36862898616088,23.1229618565232
"V1300_1","UDAIPUR","SARADA","AMBALA",14.7816600885662,0.171986502321295,21.3564714936789
"V1301_1","UDAIPUR","SARADA","KHERKI",28.8362044217285,20.3663738943236,40.5507255730629
"V1302_1","UDAIPUR","SARADA","CHANI1",25.5313052391798,18.6966476719949,31.5199121638304
"V1303_1","UDAIPUR","SARADA","MANDWA",28.8906815933263,20.3391873783076,37.039944232631
"V1304_1","UDAIPUR","SARADA","NATHARA",43.5617284567386,29.3616600689161,53.6543026496156
"V1305_1","UDAIPUR","SARADA","KHODI MAHUDI",42.9331644098846,37.6094384922979,57.9105081012088
"V1306_1","UDAIPUR","SARADA","JHALAR DEVI",20.3103609226105,14.7865617566223,27.7990853528059
"V1307_1","UDAIPUR","SARADA","SASEI",26.0225705343576,17.7385904574415,35.8651097738905
"V1308_1","UDAIPUR","SARADA","MOKAT",42.9014659897811,37.3332048767771,59.3001474917293
"V1309_1","UDAIPUR","SARADA","KHARBAR",51.1891800346391,37.6214394379284,60.2113240132055
"V1310_1","UDAIPUR","SARADA","KHARBAR1",25.4781541125988,6.37347497975695,31.5751212843608
"V1311_1","UDAIPUR","SARADA","PAREI",44.7467281448684,35.9753257090678,56.32652877092
"V1312_1","UDAIPUR","SARADA","PARASAD",55.5630604289406,27.2607497658132,62.9045353051856
"V1313_1","UDAIPUR","SARADA","DELVAS",58.2170190315332,39.7105600537258,67.1650881626052
"V1314_1","UDAIPUR","SARADA","DHELAI",20.238558123575,6.2926059044221,23.8971173793957
"V1315_1","UDAIPUR","SARADA","BORIMALAN",20.981852308403,15.4518551688303,28.1027157758546
"V1316_1","UDAIPUR","SARADA","BALADAR",11.3695504117801,4.86344943886381,17.385239712201
"V1317_1","UDAIPUR","SARADA","SINGHATWADA",36.4008122044513,1.46356747549413,51.4673856074297
